input1,output1
k-sztp ek-ct-ewrxl,kSztp ekCtEwrxl
y xcg-k,y xcgK
dyvy-r-a,dyvyRA
khsn-nbl-m,khsnNblM
ms,ms
nbsf-lkm-majhu i p,nbsfLkmMajhu i p
qvuer o bs,qvuer o bs
wtme-p-q-tijoa-mz ps,wtmePQTijoaMz ps
naos,naos
gfxlv-rboq,gfxlvRboq
zjb gw nl x,zjb gw nl x
on-avmg pvr,onAvmg pvr
ha werw-csvk,ha werwCsvk
all-one-word-dashed,allOneWordDashed
fdh-hjl e,fdhHjl e
azyio-o-zj-ann nm,azyioOZjAnn nm
w-qyieh-ha,wQyiehHa
do,do
ad v-e,ad vE
sv-uct-ijqu cuv afvg,svUctIjqu cuv afvg
n-duwku,nDuwku
iuxi-j,iuxiJ
pp,pp
esq,esq
k,k
ipp-nmo-i kungv d-z,ippNmoI kungv dZ
xiyd-cd d-rkshs,xiydCd dRkshs
taea-ugzqw-tw,taeaUgzqwTw
txqku-op,txqkuOp
ia-mtusb,iaMtusb
y,y
np-pj-dy-j tnp,npPjDyJ tnp
c,c
k-ydx qgbj,kYdx qgbj
